Unnamed: 0,index,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.rating,reviews.text,reviews.title,reviews.username
0,800,375 Main St,"Hotels,Hotel",Waterville,US,,,Best Western Plus Waterville Grand Hotel,4901,ME,2015-11-29T00:00:00Z,2016-02-01T17:29:23Z,4.0,"Seeing as it's in the middle of Maine, you're not going to get a 5-star hotel. However, this is probably the best in the area. I've had WiFi issues here in the past, but this time I had the 3rd floor, and no issues at all. So, I'd suggest 3rd floor.",Solid hotel in the area,stevebeans78
1,801,375 Main St,"Hotels,Hotel",Waterville,US,44.57059,-69.64012,Best Western Plus Waterville Grand Hotel,4901,ME,2015-10-12T00:00:00Z,2016-02-01T17:29:23Z,4.0,"good location close to the highway, quiet rooms but small bathrooms,comfortable beds with luxury linens, friendly staff throughout and good food at the restaurant, make sure you try the prime rib...it was excellent...great value and a nice place to stay, pet friendly also",great stay,Andrew L
2,802,375 Main St,"Hotels,Hotel",Waterville,US,42.700806666666665,-77.18979333333333,Best Western Plus Waterville Grand Hotel,4901,ME,2015-11-14T00:00:00Z,2016-02-01T17:29:23Z,4.0,"Overall a good place to stay. Restaurant served a great dinner although it was noisy ,because it was wing night, it attracted a lot of beer drinkers. Also the room heater/fan was noisy. The sit down service breakfast was excellent and had a good selection.",Overall,jerdonc
4,804,3100 I 70 Doctor S E,Hotels,Columbia,US,40.83102333333333,-84.73946666666667,Howard Johnson Inn Columbia,65201,Elkhurst,2016-06-20T00:00:00Z,2016-11-15T22:40:17Z,4.0,"Stay here alot, kids go to school in Columbia and this hotel has become my home away from home.",great hotel w a great price,Melissa Lee
5,805,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-07-16T00:00:00Z,2016-11-15T22:40:17Z,3.0,staff was not friendly,great hotel w a great price,James
6,806,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-11-23T00:00:00Z,2016-11-15T22:40:17Z,4.0,"was just an overnite stay, was on a long trip and needed someplace to sleep for the nite. Got in at 9:30pm and left before 6am so was good for that. That was the plan and it worked.",Overnite stay,Teddie
7,807,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-10-01T00:00:00Z,2016-11-15T22:40:17Z,3.0,Overall fine,Good stay,A Traveler
8,808,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-04-30T00:00:00Z,2016-11-15T22:40:17Z,4.0,It was a comfortable stay. I will say that the walls are a bit thin. I didn't like hearing slamming doors throughout the night from other guests. The room was fairly clean. The beds were really comfortable. Breakfast was decent. The front desk clerk could be a bit more friendlier. I would stay there again.,Satisfied Customer,Mary
9,809,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-03-05T00:00:00Z,2016-11-15T22:40:17Z,4.0,"When we first walked into our building, there was a skunky smell. Luckily, our room wasn't quite as bad. We did go across the street to the grocery store and got some air spray for our room. The pillows were not the best quality. The bedspread was thin. The mattress was nice, however. The shower had good water pressure.",Nice for a one night stay!,Tonya
10,810,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-05-11T00:00:00Z,2016-11-15T22:40:17Z,5.0,Excellent,stay for daughters surgery,Melissa Lee
11,811,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-12-05T00:00:00Z,2016-11-15T22:40:17Z,2.0,"Side doors r lock, but u can use a plastic card to inner ., not not good.",stay for daughters surgery,A Traveler
12,812,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-07-09T00:00:00Z,2016-11-15T22:40:17Z,5.0,"Quick one night stay, comfortable with good free hot breakfast.",Right off I-70,Thomas
13,813,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-10-15T00:00:00Z,2016-11-15T22:40:17Z,4.0,"Stayed for a weekend (Thurs-Mon) and thankfully the Tigers Football team was on the road so getting a room wasn't hard. It was a great value for the little cost of the room. If you're on a tight budget, this place is great. If you're looking for a resort stay and planning on spending your entire trip in the hotel, this is not your place. Bed was great to sleep in, shower was hot to bathe in. All I needed the room for.",Nice hotel close enough to campus without being on,A Traveler
14,814,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-03-10T00:00:00Z,2016-11-15T22:40:17Z,4.0,Pretty good place to stay. Price is pretty low compared to others nearby and the rooms are pretty good. Wasn't there much because of work but had no problems when I was there. TGI Friday's next door is great.,"Good hotel, food close by",Cody
15,815,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-12-02T00:00:00Z,2016-11-15T22:40:17Z,5.0,This was a fantastic stay. The employees were great! Had a light bulb break and they came straight away and cleaned it up. Nice pillows. Close to a lot of eateries.,"Good hotel, food close by",A Traveler
16,816,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-04-02T00:00:00Z,2016-11-15T22:40:17Z,1.0,The cleaning staff left dirty towels in our room which we found when we checked into our room. The onsite clerk came to pick them up but did not apologize and was hesitant when we first asked her.,indy traveler,A Traveler
17,817,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-03-03T00:00:00Z,2016-11-15T22:40:17Z,3.0,Second year staying here for True/False. The room is fine. Breakfast is better than a lot of other budget places.,Great Value.,A Traveler
18,818,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2015-12-16T00:00:00Z,2016-11-15T22:40:17Z,2.0,"I booked the hotel last minute as I was simply too tired to continue driving. I'm in grad school so I needed cheap. Considering the price, the hotel amenities and upkeep was as expected. The staff was friendly enough, the hotel smelled like mildew, serious updates were needed, and the continental breakfast was lacking. The only things that I considered to be under what I paid was the bed and room itself. The bed was terribly uncomfortable. The pillows were hard and lumpy...like when you wash and then high heat dry artificial pillow stuffing and it melts together. The AC unit didn't really work. It just blew air. I was hoping it would cool down to kill the mildew smell, but it never did. The worst was that every time the AC unit kicked off, a noise would start (I'm assuming some kind of duct work) that sounded like someone was knocking at my door. This continued through the night so needless to say, I didn't sleep very well.",You get what you pay for,Ali
19,819,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-02-13T00:00:00Z,2016-11-15T22:40:17Z,3.0,I would recommend this hotel to others. It was a nice facility nice room and accommodation.,You get what you pay for,stephanie
20,820,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-06-16T00:00:00Z,2016-11-15T22:40:17Z,4.0,"Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good.",Hotel worth the money.,A Traveler
21,821,3100 I 70 Doctor S E,Hotels,Columbia,US,38.96124,-92.28914000000002,Howard Johnson Inn Columbia,65201,Elkhurst,2016-05-27T00:00:00Z,2016-11-15T22:40:17Z,3.0,"Showed up on Friday left on Sunday. Everything was good. Breakfast was great. Very nice staff. The only problem was the bathroom. The toilet, shower head, and tub faucet were loose. It looks like they tried to update the tub area but didn't do a good job of it. The lights in the bathroom are exetremely hot. Other than that good trip.",Memrial day get away,William
